neuron,primitive,iou,weight
0,marital-status:Married-civ-spouse,0.6081784386616648,0.08637221902608871
0,relationship:Unmarried,0.6081784386616648,0.08637221902608871
1,marital-status:Never-married,0.604987932421512,-0.20479340851306915
1,marital-status:Divorced,0.604987932421512,-0.20479340851306915
2,marital-status:Never-married,0.618197278911512,-0.3192075192928314
2,marital-status:Divorced,0.618197278911512,-0.3192075192928314
3,marital-status:Married-civ-spouse,0.5477386934672973,0.10522115230560303
3,education:Some-college,0.5477386934672973,0.10522115230560303
4,marital-status:Never-married,0.5162635529607575,-0.1897372007369995
4,race:Black,0.5162635529607575,-0.1897372007369995
5,marital-status:Never-married,0.5364330326162015,-0.13304604589939117
5,education:HS-grad,0.5364330326162015,-0.13304604589939117
6,age,0.4541003671970346,-0.18433506786823273
6,marital-status:Never-married,0.4541003671970346,-0.18433506786823273
7,marital-status:Married-civ-spouse,0.5701288855192895,0.13722993433475494
7,education:Bachelors,0.5701288855192895,0.13722993433475494
8,relationship:Husband,0.7255892255891645,0.13502775132656097
8,relationship:Unmarried,0.7255892255891645,0.13502775132656097
9,marital-status:Never-married,0.5476613380698314,-0.23665642738342285
9,relationship:Husband,0.5476613380698314,-0.23665642738342285
10,relationship:Not-in-family,0.48507462686564146,0.06232955679297447
10,marital-status:Married-civ-spouse,0.48507462686564146,0.06232955679297447
11,age,0.5520431765612527,-0.11618679761886597
11,marital-status:Divorced,0.5520431765612527,-0.11618679761886597
12,marital-status:Married-civ-spouse,0.6213373403455581,0.1065170019865036
12,occupation:Exec-managerial,0.6213373403455581,0.1065170019865036
13,marital-status:Married-civ-spouse,0.3935294117646827,0.24687281250953674
13,marital-status:Never-married,0.3935294117646827,0.24687281250953674
14,relationship:Not-in-family,0.41533546325875276,-0.10613293200731277
14,hours-per-week,0.41533546325875276,-0.10613293200731277
15,education:Bachelors,0.49262295081963176,0.04941665753722191
15,sex:Female,0.49262295081963176,0.04941665753722191
16,education:HS-grad,0.514542936288053,-0.22443488240242004
16,education:Some-college,0.514542936288053,-0.22443488240242004
17,marital-status:Never-married,0.5700934579438719,-0.16141685843467712
17,occupation:Other-service,0.5700934579438719,-0.16141685843467712
18,marital-status:Never-married,0.6402586903798997,-0.06977348774671555
18,sex:Female,0.6402586903798997,-0.06977348774671555
19,marital-status:Never-married,0.557299843014085,-0.17281845211982727
19,sex:Female,0.557299843014085,-0.17281845211982727
20,marital-status:Never-married,0.5411676646706182,-0.1908378005027771
20,marital-status:Divorced,0.5411676646706182,-0.1908378005027771
21,marital-status:Never-married,0.5488776249094461,-0.2499019354581833
21,education:HS-grad,0.5488776249094461,-0.2499019354581833
22,marital-status:Married-civ-spouse,0.36171761280928955,0.07775821536779404
22,relationship:Own-child,0.36171761280928955,0.07775821536779404
23,marital-status:Never-married,0.5557195571955309,-0.24758943915367126
23,sex:Female,0.5557195571955309,-0.24758943915367126
24,age,0.5520694259011647,-0.08853407949209213
24,relationship:Not-in-family,0.5520694259011647,-0.08853407949209213
25,marital-status:Never-married,0.5704493526275269,-0.18125604093074799
25,marital-status:Divorced,0.5704493526275269,-0.18125604093074799
26,education:HS-grad,0.5149201943094716,-0.12554259598255157
26,marital-status:Never-married,0.5149201943094716,-0.12554259598255157
27,marital-status:Never-married,0.563199999999955,-0.1469484269618988
27,marital-status:Divorced,0.563199999999955,-0.1469484269618988
28,sex:Female,0.46860782529568074,-0.12022991478443146
28,workclass:Self-emp-not-inc,0.46860782529568074,-0.12022991478443146
29,relationship:Husband,0.5252894576477437,0.1573968231678009
29,relationship:Not-in-family,0.5252894576477437,0.1573968231678009
30,marital-status:Never-married,0.6306042884989639,-0.2562633454799652
30,relationship:Unmarried,0.6306042884989639,-0.2562633454799652
31,marital-status:Married-civ-spouse,0.3826606875933944,0.14723874628543854
31,relationship:Unmarried,0.3826606875933944,0.14723874628543854
32,relationship:Husband,0.5538809344385415,0.15448230504989624
32,relationship:Unmarried,0.5538809344385415,0.15448230504989624
33,marital-status:Never-married,0.5667844522967798,-0.06853506714105606
33,education:HS-grad,0.5667844522967798,-0.06853506714105606
34,relationship:Husband,0.6311475409835549,0.1318257451057434
34,occupation:Exec-managerial,0.6311475409835549,0.1318257451057434
