feature,iou,neuron,weight
education:9th,0.14893617021276595,0,-0.14065255224704742
native-country:?,0.12264150943396226,1,0.16639366745948792
marital-status:Married-spouse-absent,0.13829787234042554,2,-0.18031775951385498
native-country:Mexico,0.11764705882352941,3,-0.15777672827243805
education:Masters,0.10919540229885058,4,0.15086629986763
education:Doctorate,0.18823529411764706,5,0.19059722125530243
native-country:Mexico,0.15151515151515152,6,-0.15295614302158356
relationship:Wife,0.16463414634146342,7,0.20862960815429688
education:Doctorate,0.23170731707317074,8,0.16281428933143616
marital-status:Widowed,0.12307692307692308,9,-0.07624994963407516
race:Asian-Pac-Islander,0.15833333333333333,10,0.08528422564268112
education:11th,0.1258741258741259,11,-0.2322472631931305
workclass:?,0.19411764705882353,12,-0.09980624914169312
education:9th,0.1368421052631579,13,-0.18615493178367615
marital-status:Married-spouse-absent,0.10309278350515463,14,-0.1772148609161377
race:Asian-Pac-Islander,0.19827586206896552,15,0.2031112015247345
education:1st-4th,0.1375,16,0.1497463881969452
race:Asian-Pac-Islander,0.12096774193548387,17,-0.14129649102687836
workclass:?,0.11538461538461539,18,-0.20505575835704803
education:Prof-school,0.26744186046511625,19,0.1637108027935028
workclass:Self-emp-inc,0.3652173913043478,20,0.12443080544471741
race:Asian-Pac-Islander,0.17796610169491525,21,0.13646440207958221
occupation:Protective-serv,0.11320754716981132,22,-0.17662352323532104
native-country:?,0.29347826086956524,23,0.23019513487815857
education:Doctorate,0.24691358024691357,24,0.17660893499851227
capital-gain,0.1761904761904762,25,0.15482433140277863
marital-status:Widowed,0.140625,26,-0.21916306018829346
workclass:?,0.12154696132596685,27,-0.09322425723075867
education:Prof-school,0.3132530120481928,28,0.11030717939138412
education:11th,0.15,29,-0.16878797113895416
relationship:Other-relative,0.1308411214953271,30,-0.16484445333480835
education:Prof-school,0.26744186046511625,31,0.16248776018619537
capital-gain,0.14351851851851852,32,0.20264464616775513
capital-gain,0.14351851851851852,33,0.19958235323429108
education:Doctorate,0.23170731707317074,34,0.19427341222763062
education:Prof-school,0.17204301075268819,35,0.12284743040800095
education:10th,0.13008130081300814,36,-0.08894948661327362
education:11th,0.17518248175182483,37,-0.16384565830230713
education:5th-6th,0.11494252873563218,38,-0.1365741342306137
workclass:Self-emp-not-inc,0.11904761904761904,39,0.13205794990062714
education:10th,0.13008130081300814,40,-0.1044577807188034
education:Masters,0.1488095238095238,41,0.16745494306087494
race:Asian-Pac-Islander,0.1487603305785124,42,-0.13766340911388397
race:Asian-Pac-Islander,0.13934426229508196,43,0.04656188189983368
occupation:Protective-serv,0.12380952380952381,44,-0.1274554580450058
native-country:?,0.26595744680851063,45,0.16166706383228302
race:Asian-Pac-Islander,0.13008130081300814,46,0.243178591132164
education:Prof-school,0.345679012345679,47,0.15626078844070435
education:Assoc-voc,0.12244897959183673,48,0.19661913812160492
race:Asian-Pac-Islander,0.18803418803418803,49,0.18265461921691895
occupation:Exec-managerial,0.13240418118466898,50,0.17299272119998932
native-country:Mexico,0.16326530612244897,51,-0.20480498671531677
education:5th-6th,0.07777777777777778,52,-0.13203418254852295
capital-gain,0.12272727272727273,53,0.17489023506641388
occupation:Protective-serv,0.20408163265306123,54,0.09709379822015762
native-country:Mexico,0.16326530612244897,55,-0.2161298245191574
workclass:?,0.1534090909090909,56,-0.23175464570522308
capital-gain,0.14351851851851852,57,0.14450189471244812
education:Doctorate,0.1744186046511628,58,0.13916447758674622
education:7th-8th,0.13,59,-0.02983885444700718
occupation:Farming-fishing,0.11764705882352941,60,-0.21476256847381592
workclass:?,0.19411764705882353,61,-0.13200584053993225
workclass:?,0.24539877300613497,62,-0.15689055621623993
education:Masters,0.16265060240963855,63,0.2421029508113861
