neuron,feature,iou,weight
0,((marital-status:Never-married OR relationship:Not-in-family) OR relationship:Unmarried),0.6787296898079263,-0.22209465503692627
1,((occupation:Prof-specialty OR education:Bachelors) OR education:11th),0.4606451612902631,0.28095388412475586
2,((education:HS-grad OR occupation:Prof-specialty) OR education:Bachelors),0.48543689320384725,0.06927592307329178
3,((relationship:Husband OR marital-status:Never-married) OR marital-status:Divorced),0.7792553191488947,-0.23275324702262878
4,((relationship:Not-in-family OR relationship:Own-child) OR relationship:Unmarried),0.7918983320094685,-0.27652204036712646
5,((occupation:Exec-managerial OR workclass:Self-emp-not-inc) OR education:Masters),0.4515195369029737,0.13659736514091492
6,((marital-status:Never-married OR marital-status:Divorced) OR workclass:Local-gov),0.6464723926379872,-0.1919316053390503
7,((occupation:Exec-managerial OR workclass:?) OR workclass:Self-emp-inc),0.6100628930816651,0.1312480866909027
8,((marital-status:Married-civ-spouse AND (NOT hours-per-week)) OR capital-gain),0.33376123234912275,0.17222726345062256
9,((capital-loss OR capital-gain) OR workclass:Self-emp-inc),0.3683206106869526,0.19021746516227722
10,((age OR marital-status:Never-married) OR marital-status:Married-civ-spouse),0.7556789500252016,-0.1206991896033287
11,((marital-status:Never-married OR age) OR sex:Female),0.670273348519324,-0.15943238139152527
12,((marital-status:Married-civ-spouse OR occupation:Exec-managerial) OR race:Amer-Indian-Eskimo),0.7352185089973663,0.04080821946263313
13,((marital-status:Never-married OR marital-status:Married-civ-spouse) OR marital-status:Divorced),0.730964467005039,-0.10652162879705429
14,((marital-status:Married-civ-spouse OR sex:Female) OR education:Some-college),0.7325056433408165,-0.2401464581489563
15,((marital-status:Never-married OR sex:Female) OR hours-per-week),0.6359223300970488,-0.10369470715522766
16,((education:Bachelors OR education:Masters) OR relationship:Wife),0.5131761442440342,0.06030472368001938
17,((marital-status:Never-married OR marital-status:Married-civ-spouse) OR relationship:Not-in-family),0.5969521807671783,-0.03623608127236366
18,((marital-status:Married-civ-spouse OR hours-per-week) AND (NOT native-country:Mexico)),0.7533385703063037,0.47882279753685
19,((capital-loss OR capital-gain) OR education:11th),0.33756805807616375,0.14787934720516205
20,((marital-status:Married-civ-spouse AND (NOT occupation:Transport-moving)) AND (NOT native-country:Mexico)),0.7425847457626331,0.324484258890152
21,((marital-status:Married-civ-spouse OR occupation:Prof-specialty) OR occupation:Exec-managerial),0.46968472109939613,0.029569515958428383
22,((marital-status:Married-civ-spouse OR workclass:Self-emp-not-inc) OR occupation:Exec-managerial),0.7843996494302555,0.2599934935569763
23,((marital-status:Never-married OR age) OR sex:Female),0.6299559471365291,-0.15433402359485626
24,((marital-status:Married-civ-spouse OR marital-status:Never-married) OR relationship:Not-in-family),0.7170005136106462,-0.14168931543827057
